Customer_Product_ID,Customer_ID,Product_Name,Product_Category,Opted_Date,Product_Status,Acquisition_Channel,Employee_ID,Amount
CP_000001,CUST_02001,Current Account,Account,13-01-2026,Closed,Employee,EMP_0159,87000
CP_000002,CUST_02002,Mutual Fund,Investment,23-07-2025,Active,Branch,EMP_0204,40000
CP_000003,CUST_02002,Debit Card,Card,10-01-2026,Active,Internet Banking,EMP_0214,207100
CP_000004,CUST_02002,Auto Loan,Loan,04-02-2026,Closed,Online,EMP_0002,1042000
CP_000005,CUST_02003,Home Loan,Loan,24-03-2024,Active,Online,EMP_0238,613000
CP_000006,CUST_02003,Debit Card,Card,08-11-2025,Active,Employee,EMP_0202,21100
CP_000007,CUST_02003,Home Loan,Loan,16-03-2026,Active,Internet Banking,EMP_0459,1371000
CP_000008,CUST_02003,Savings Account,Account,26-12-2023,Active,Mobile App,EMP_0415,69100
CP_000009,CUST_02003,Recurring Deposit,Investment,18-11-2024,Active,Employee,EMP_0320,118000
CP_000010,CUST_02004,Current Account,Account,16-02-2025,Active,Online,EMP_0140,77500
CP_000011,CUST_02004,Current Account,Account,01-03-2025,Active,Mobile App,EMP_0191,92700
CP_000012,CUST_02005,Auto Loan,Loan,10-05-2026,Active,Branch,EMP_0017,156000
CP_000013,CUST_02005,Fixed Deposit,Investment,24-05-2026,Active,Branch,EMP_0425,438000
CP_000014,CUST_02005,Fixed Deposit,Investment,03-10-2024,Active,Mobile App,EMP_0288,118000
CP_000015,CUST_02006,Mutual Fund,Investment,03-08-2023,Active,Employee,EMP_0426,114000
CP_000016,CUST_02006,Home Loan,Loan,03-12-2024,Closed,Mobile App,EMP_0162,537000
CP_000017,CUST_02007,Fixed Deposit,Investment,26-06-2024,Active,Branch,EMP_0299,312000
CP_000018,CUST_02007,Insurance,Insurance,12-05-2025,Active,Employee,EMP_0216,390300
CP_000019,CUST_02008,Debit Card,Card,07-01-2026,Active,Branch,EMP_0120,94900
CP_000020,CUST_02008,Personal Loan,Loan,16-02-2026,Active,Mobile App,EMP_0185,324000
CP_000021,CUST_02009,Savings Account,Account,08-07-2025,Closed,Internet Banking,EMP_0110,77400
CP_000022,CUST_02009,Credit Card,Card,16-05-2024,Closed,Branch,EMP_0317,185300
CP_000023,CUST_02010,Home Loan,Loan,14-08-2024,Active,Internet Banking,EMP_0287,744000
CP_000024,CUST_02010,Insurance,Insurance,12-02-2025,Active,Branch,EMP_0316,133600
CP_000025,CUST_02010,Savings Account,Account,23-12-2025,Active,Mobile App,EMP_0254,12500
CP_000026,CUST_02011,Debit Card,Card,21-01-2024,Active,Branch,EMP_0144,182800
CP_000027,CUST_02011,Current Account,Account,19-12-2022,Active,Internet Banking,EMP_0495,25600
CP_000028,CUST_02011,Credit Card,Card,06-06-2023,Closed,Internet Banking,EMP_0044,281200
CP_000029,CUST_02011,Recurring Deposit,Investment,19-05-2023,Active,Employee,EMP_0216,75000
CP_000030,CUST_02012,Personal Loan,Loan,15-02-2026,Active,Branch,EMP_0351,1848000
CP_000031,CUST_02012,Debit Card,Card,01-11-2024,Closed,Internet Banking,EMP_0181,220600
CP_000032,CUST_02012,Debit Card,Card,19-01-2025,Active,Branch,EMP_0299,217900
CP_000033,CUST_02012,Recurring Deposit,Investment,04-03-2025,Active,Employee,EMP_0335,109000
CP_000034,CUST_02012,Insurance,Insurance,19-11-2024,Active,Employee,EMP_0491,68700
CP_000035,CUST_02013,Savings Account,Account,02-05-2026,Active,Branch,EMP_0408,32400
CP_000036,CUST_02013,Auto Loan,Loan,31-10-2025,Closed,Mobile App,EMP_0031,530000
CP_000037,CUST_02014,Mutual Fund,Investment,10-06-2025,Active,Branch,EMP_0283,456000
CP_000038,CUST_02014,Debit Card,Card,13-03-2026,Closed,Internet Banking,EMP_0033,216900
CP_000039,CUST_02015,Personal Loan,Loan,25-06-2025,Active,Branch,EMP_0153,244000
CP_000040,CUST_02015,Credit Card,Card,22-07-2025,Active,Internet Banking,EMP_0237,256700
CP_000041,CUST_02015,Home Loan,Loan,20-06-2025,Active,Employee,EMP_0050,3781000
CP_000042,CUST_02016,Home Loan,Loan,28-06-2025,Active,Branch,EMP_0411,126000
CP_000043,CUST_02016,Recurring Deposit,Investment,31-07-2023,Active,Employee,EMP_0019,585000
CP_000044,CUST_02017,Recurring Deposit,Investment,12-02-2026,Active,Branch,EMP_0403,300000
CP_000045,CUST_02017,Home Loan,Loan,29-05-2026,Active,Employee,EMP_0270,163000
CP_000046,CUST_02018,Current Account,Account,03-11-2025,Active,Mobile App,EMP_0426,1500
CP_000047,CUST_02019,Mutual Fund,Investment,30-04-2026,Active,Mobile App,EMP_0231,544000
CP_000048,CUST_02019,Home Loan,Loan,15-10-2025,Active,Internet Banking,EMP_0046,1745000
CP_000049,CUST_02019,Insurance,Insurance,05-12-2025,Active,Branch,EMP_0386,405500
CP_000050,CUST_02020,Recurring Deposit,Investment,30-10-2025,Active,Internet Banking,EMP_0147,69000
CP_000051,CUST_02020,Savings Account,Account,04-09-2025,Active,Branch,EMP_0287,76500
CP_000052,CUST_02020,Mutual Fund,Investment,23-01-2026,Active,Branch,EMP_0416,280000
CP_000053,CUST_02021,Personal Loan,Loan,11-11-2025,Active,Employee,EMP_0081,632000
CP_000054,CUST_02021,Debit Card,Card,13-03-2024,Active,Mobile App,EMP_0315,20200
CP_000055,CUST_02021,Current Account,Account,11-11-2023,Active,Internet Banking,EMP_0144,80900
CP_000056,CUST_02022,Recurring Deposit,Investment,21-03-2026,Closed,Employee,EMP_0383,227000
CP_000057,CUST_02022,Home Loan,Loan,10-12-2024,Active,Branch,EMP_0057,801000
CP_000058,CUST_02023,Mutual Fund,Investment,28-05-2024,Active,Internet Banking,EMP_0365,432000
CP_000059,CUST_02023,Debit Card,Card,27-01-2025,Active,Branch,EMP_0172,129900
CP_000060,CUST_02023,Auto Loan,Loan,14-05-2023,Active,Mobile App,EMP_0457,2301000
CP_000061,CUST_02023,Home Loan,Loan,12-04-2023,Active,Internet Banking,EMP_0027,1555000
CP_000062,CUST_02024,Debit Card,Card,22-12-2023,Active,Branch,EMP_0186,247700
CP_000063,CUST_02024,Debit Card,Card,09-04-2025,Active,Internet Banking,EMP_0477,23200
CP_000064,CUST_02025,Insurance,Insurance,24-02-2026,Active,Employee,EMP_0229,81100
CP_000065,CUST_02025,Recurring Deposit,Investment,08-08-2026,Active,Mobile App,EMP_0225,193000
CP_000066,CUST_02025,Home Loan,Loan,22-02-2026,Active,Employee,EMP_0282,301000
CP_000067,CUST_02026,Current Account,Account,29-01-2023,Active,Internet Banking,EMP_0484,66500
CP_000068,CUST_02026,Fixed Deposit,Investment,12-02-2026,Active,Branch,EMP_0456,400000
CP_000069,CUST_02027,Insurance,Insurance,02-08-2025,Active,Employee,EMP_0204,361200
CP_000070,CUST_02028,Insurance,Insurance,28-07-2026,Active,Mobile App,EMP_0122,470100
CP_000071,CUST_02028,Debit Card,Card,30-05-2026,Active,Branch,EMP_0440,75200
CP_000072,CUST_02029,Personal Loan,Loan,14-02-2026,Active,Branch,EMP_0224,744000
CP_000073,CUST_02029,Current Account,Account,26-06-2025,Active,Branch,EMP_0291,47100
CP_000074,CUST_02029,Mutual Fund,Investment,30-04-2026,Active,Branch,EMP_0448,2172000
CP_000075,CUST_02029,Recurring Deposit,Investment,19-08-2025,Active,Employee,EMP_0344,1276000
CP_000076,CUST_02030,Savings Account,Account,17-07-2024,Active,Employee,EMP_0177,66700
CP_000077,CUST_02030,Recurring Deposit,Investment,11-08-2024,Closed,Employee,EMP_0009,684000
CP_000078,CUST_02031,Personal Loan,Loan,14-07-2025,Active,Internet Banking,EMP_0073,3008000
CP_000079,CUST_02031,Debit Card,Card,18-06-2026,Active,Internet Banking,EMP_0147,208000
CP_000080,CUST_02031,Current Account,Account,07-08-2025,Active,Mobile App,EMP_0294,63000
CP_000081,CUST_02031,Mutual Fund,Investment,02-05-2026,Closed,Online,EMP_0153,312000
CP_000082,CUST_02031,Savings Account,Account,20-03-2026,Active,Mobile App,EMP_0429,61500
