Interaction_ID,Customer_ID,Employee_ID,Branch_ID,Interaction_Date,Interaction_Channel,Interaction_Type,Issue_Severity,Resolution_Status,Resolution_Time_Hours,Customer_Satisfaction_Score,Interaction_Duration_Minutes
INT_000001,CUST_03322,EMP_0120,BR_003,03-05-2025,Branch,Service Request,High,Resolved,3.2,4,17
INT_000002,CUST_04554,EMP_0226,BR_007,04-02-2026,Email,Query,Medium,Resolved,2.6,5,19
INT_000003,CUST_03912,EMP_0256,BR_007,27-05-2024,Branch,Query,Medium,Pending,6.8,5,7
INT_000004,CUST_09036,EMP_0472,BR_033,13-01-2026,Branch,Loan Enquiry,Medium,Resolved,1.4,5,11
INT_000005,CUST_03166,EMP_0388,BR_029,02-12-2025,Mobile App,Service Request,Low,Resolved,7.4,5,53
INT_000006,CUST_01722,EMP_0260,BR_026,19-06-2025,Email,Query,Low,Resolved,5.3,4,29
INT_000007,CUST_01340,EMP_0252,BR_022,17-02-2026,Mobile App,Service Request,Low,Resolved,7.2,5,5
INT_000008,CUST_00782,EMP_0142,BR_005,06-04-2026,Mobile App,Query,Low,Resolved,10.4,5,21
INT_000009,CUST_09128,EMP_0425,BR_036,21-05-2025,Mobile App,Service Request,Low,Resolved,4.2,5,12
INT_000010,CUST_07425,EMP_0207,BR_032,07-06-2025,Branch,Sales,High,Pending,3.8,4,25
INT_000011,CUST_06090,EMP_0030,BR_010,24-05-2026,Email,Query,Low,Resolved,2.9,5,30
INT_000012,CUST_07766,EMP_0387,BR_023,17-05-2025,Mobile App,Sales,Low,Escalated,5.7,4,7
INT_000013,CUST_05899,EMP_0412,BR_023,06-01-2024,Branch,Service Request,High,Resolved,6,4,11
INT_000014,CUST_08846,EMP_0126,BR_030,04-11-2025,Branch,Service Request,Low,Resolved,2.7,5,9
INT_000015,CUST_02559,EMP_0058,BR_030,01-06-2024,Mobile App,Query,Low,Resolved,4.5,4,18
INT_000016,CUST_06372,EMP_0222,BR_011,01-09-2025,Email,Query,Low,Resolved,2.2,4,22
INT_000017,CUST_08180,EMP_0383,BR_002,30-10-2024,Branch,Query,Medium,Resolved,7.6,4,18
INT_000018,CUST_00483,EMP_0337,BR_042,20-03-2024,Branch,Complaint,Low,Resolved,7,4,27
INT_000019,CUST_01521,EMP_0111,BR_047,17-01-2025,Mobile App,Loan Enquiry,Low,Resolved,4.9,4,28
INT_000020,CUST_08083,EMP_0482,BR_008,23-07-2026,Mobile App,Loan Enquiry,Low,Resolved,1.3,5,6
INT_000021,CUST_00287,EMP_0351,BR_036,18-04-2024,Mobile App,Sales,Medium,Pending,4,5,24
INT_000022,CUST_08152,EMP_0493,BR_002,10-06-2025,Email,Complaint,Low,Resolved,3.9,5,19
INT_000023,CUST_05816,EMP_0453,BR_035,21-02-2026,Mobile App,Query,Medium,Resolved,2.3,4,9
INT_000024,CUST_05858,EMP_0091,BR_044,07-04-2024,Branch,Sales,Low,Resolved,2.4,5,18
INT_000025,CUST_05633,EMP_0374,BR_039,17-04-2024,Mobile App,Service Request,Low,Resolved,2.8,5,28
INT_000026,CUST_07822,EMP_0154,BR_025,05-04-2025,Mobile App,Service Request,Medium,Resolved,4.4,5,5
INT_000027,CUST_06963,EMP_0114,BR_039,18-10-2025,Email,Query,Low,Resolved,8.5,5,29
INT_000028,CUST_02379,EMP_0444,BR_009,09-05-2024,Branch,Complaint,Medium,Resolved,5.2,4,9
INT_000029,CUST_07842,EMP_0113,BR_044,22-09-2024,Branch,Sales,Low,Resolved,1.9,5,16
INT_000030,CUST_06963,EMP_0105,BR_007,16-02-2026,Phone,Query,High,Pending,11.5,5,20
INT_000031,CUST_08511,EMP_0114,BR_039,15-02-2026,Branch,Service Request,Medium,Resolved,5.6,3,24
INT_000032,CUST_08396,EMP_0224,BR_024,30-07-2025,Internet Banking,Sales,Low,Escalated,10.9,5,4
INT_000033,CUST_03276,EMP_0054,BR_027,08-04-2025,Branch,Loan Enquiry,Medium,Pending,15.1,5,7
INT_000034,CUST_05598,EMP_0056,BR_045,20-04-2026,Branch,Service Request,Low,Resolved,2.7,4,12
INT_000035,CUST_07540,EMP_0040,BR_024,27-12-2025,Email,Sales,Medium,Resolved,1.5,4,23
INT_000036,CUST_03603,EMP_0372,BR_017,29-01-2025,Email,Service Request,Low,Pending,18,4,7
INT_000037,CUST_09829,EMP_0108,BR_014,28-07-2024,Mobile App,Service Request,Low,Resolved,6.6,5,6
INT_000038,CUST_06111,EMP_0202,BR_011,02-10-2025,Mobile App,Service Request,Low,Resolved,5.1,5,37
INT_000039,CUST_08757,EMP_0081,BR_040,10-05-2024,Mobile App,Sales,Low,Resolved,5.7,5,5
INT_000040,CUST_06490,EMP_0500,BR_016,22-07-2024,Branch,Query,Low,Resolved,1.1,5,3
INT_000041,CUST_00590,EMP_0453,BR_035,12-07-2026,Branch,Query,Low,Pending,10.5,4,11
